,i,t,c,coauthors,dept,a,tau,I,ln_a,XD,PR,lambda,z
0,--nVNvIAAAAJ,2014,9,"1,1,1,--nVNvIAAAAJ",CS,4,13,0,1.3862943611198906,0,0.0001364252268889156,0.7692307692307693,0.061223675933581495
1,--nVNvIAAAAJ,2010,44,"1,--nVNvIAAAAJ",CS,2,9,0,0.6931471805599453,0,0.0001364252268889156,0.7692307692307693,0.6682628384569965
2,--nVNvIAAAAJ,2004,286,"1,--nVNvIAAAAJ,1",CS,3,3,0,1.0986122886681098,0,0.0001364252268889156,0.7692307692307693,1.5124846453662244
3,--nVNvIAAAAJ,2015,8,"--nVNvIAAAAJ,2,1,1",CS,4,14,0,1.3862943611198906,0,0.0001364252268889156,0.7692307692307693,0.340968762787437
4,--nVNvIAAAAJ,2010,5,"1,1,1,--nVNvIAAAAJ",CS,4,9,0,1.3862943611198906,0,0.0001364252268889156,0.7692307692307693,-0.8271493542184207
5,--nVNvIAAAAJ,2006,418,"1,--nVNvIAAAAJ,1",CS,3,5,0,1.0986122886681098,0,0.0001364252268889156,0.7692307692307693,2.0094880180300994
6,--nVNvIAAAAJ,2014,15,"1,1,--nVNvIAAAAJ,1,1",CS,5,13,0,1.6094379124341003,0,0.0001364252268889156,0.7692307692307693,0.4948401219405472
7,--nVNvIAAAAJ,2009,1273,"1,--nVNvIAAAAJ,1,1,VuvKPiQAAAAJ",CS,5,8,0,1.6094379124341003,0,0.0001364252268889156,0.7692307692307693,3.012920798166291
8,--nVNvIAAAAJ,2014,13,"1,1,--nVNvIAAAAJ",CS,3,13,0,1.0986122886681098,0,0.0001364252268889156,0.7692307692307693,0.3716465883222497
9,--nVNvIAAAAJ,2015,29,"1,1,--nVNvIAAAAJ",CS,3,14,0,1.0986122886681098,0,0.0001364252268889156,0.7692307692307693,1.613917660767876
10,--nVNvIAAAAJ,2002,20,--nVNvIAAAAJ,CS,1,1,0,0.0,0,0.0001364252268889156,0.7692307692307693,-0.2694526984754418
11,--nVNvIAAAAJ,2013,41,"1,--nVNvIAAAAJ",CS,2,12,0,0.6931471805599453,0,0.0001364252268889156,0.7692307692307693,1.0912347872034047
12,--nVNvIAAAAJ,2013,1,"1,--nVNvIAAAAJ",CS,2,12,0,0.6931471805599453,0,0.0001364252268889156,0.7692307692307693,-1.5198989036087434
13,--nVNvIAAAAJ,2005,159,"1,1,1,--nVNvIAAAAJ",CS,4,4,0,1.3862943611198906,0,0.0001364252268889156,0.7692307692307693,1.2180537288893332
14,--nVNvIAAAAJ,2013,63,"1,--nVNvIAAAAJ,1,1,1,VuvKPiQAAAAJ",CS,6,12,0,1.791759469228055,0,0.0001364252268889156,0.7692307692307693,1.452488380232229
15,--nVNvIAAAAJ,2014,32,"1,1,1,--nVNvIAAAAJ",CS,4,13,0,1.3862943611198906,0,0.0001364252268889156,0.7692307692307693,1.1627139312698984
16,--nVNvIAAAAJ,2006,12,"1,1,--nVNvIAAAAJ,2,2,a1ngrCIAAAAJ,1,1",CS,8,5,0,2.0794415416798357,0,0.0001364252268889156,0.7692307692307693,-0.43615141456945683
17,--nVNvIAAAAJ,2015,10,"1,--nVNvIAAAAJ,1,cLb-v7gAAAAJ,1",CS,5,14,0,1.6094379124341003,0,0.0001364252268889156,0.7692307692307693,0.5531359643452228
18,--nVNvIAAAAJ,2015,1,"jLEgvnsAAAAJ,2,--nVNvIAAAAJ,1,1",CS,5,14,0,1.6094379124341003,0,0.0001364252268889156,0.7692307692307693,-1.2492778423055857
19,--nVNvIAAAAJ,2006,117,"1,--nVNvIAAAAJ,1,1,VuvKPiQAAAAJ,1",CS,6,5,0,1.791759469228055,0,0.0001364252268889156,0.7692307692307693,1.117132484833902
20,--nVNvIAAAAJ,2014,8,"1,1,--nVNvIAAAAJ,1,1",CS,5,13,0,1.6094379124341003,0,0.0001364252268889156,0.7692307692307693,-0.03597994017960721
21,--nVNvIAAAAJ,2007,330,"--nVNvIAAAAJ,1,1,VuvKPiQAAAAJ",CS,4,6,0,1.3862943611198906,0,0.0001364252268889156,0.7692307692307693,1.8909517650062588
22,--nVNvIAAAAJ,2012,38,"1,--nVNvIAAAAJ",CS,2,11,0,0.6931471805599453,0,0.0001364252268889156,0.7692307692307693,0.8156757715659644
23,--nVNvIAAAAJ,2004,28,"1,1,--nVNvIAAAAJ",CS,3,3,0,1.0986122886681098,0,0.0001364252268889156,0.7692307692307693,0.0002465817294022354
24,--nVNvIAAAAJ,2006,62,"1,1,--nVNvIAAAAJ",CS,3,5,0,1.0986122886681098,0,0.0001364252268889156,0.7692307692307693,0.6752103886819414
25,--nVNvIAAAAJ,2008,151,"1,--nVNvIAAAAJ,1",CS,3,7,0,1.0986122886681098,0,0.0001364252268889156,0.7692307692307693,1.4041653036860633
26,--nVNvIAAAAJ,2004,781,"1,1,--nVNvIAAAAJ",CS,3,3,0,1.0986122886681098,0,0.0001364252268889156,0.7692307692307693,2.1737859668176127
27,--nVNvIAAAAJ,2002,3079,"1,1,--nVNvIAAAAJ,in6eBIwAAAAJ",CS,4,1,0,1.3862943611198906,0,0.0001364252268889156,0.7692307692307693,2.9112925774346774
28,--nVNvIAAAAJ,2007,288,"1,--nVNvIAAAAJ",CS,2,6,0,0.6931471805599453,0,0.0001364252268889156,0.7692307692307693,1.7945205160711002
29,--nVNvIAAAAJ,2003,43,"1,1,--nVNvIAAAAJ",CS,3,2,0,1.0986122886681098,0,0.0001364252268889156,0.7692307692307693,0.2306954119589177
30,--nVNvIAAAAJ,2006,23,"1,1,--nVNvIAAAAJ,1",CS,4,5,0,1.3862943611198906,0,0.0001364252268889156,0.7692307692307693,-0.00440182039440034
31,--nVNvIAAAAJ,2006,45,"--nVNvIAAAAJ,1,1",CS,3,5,0,1.0986122886681098,0,0.0001364252268889156,0.7692307692307693,0.45374345513161934
32,--nVNvIAAAAJ,2008,59,"--nVNvIAAAAJ,1,1,VuvKPiQAAAAJ",CS,4,7,0,1.3862943611198906,0,0.0001364252268889156,0.7692307692307693,0.7334239946968094
33,--nVNvIAAAAJ,2013,208,"1,--nVNvIAAAAJ",CS,2,12,0,0.6931471805599453,0,0.0001364252268889156,0.7692307692307693,2.467474894861624
34,--nVNvIAAAAJ,2009,337,"1,--nVNvIAAAAJ,1",CS,3,8,0,1.0986122886681098,0,0.0001364252268889156,0.7692307692307693,2.0502402491719725
35,--nVNvIAAAAJ,2008,29,--nVNvIAAAAJ,CS,1,7,0,0.0,0,0.0001364252268889156,0.7692307692307693,0.2332578172644389
36,-0CQuX8AAAAJ,2013,30,"0,0,-0CQuX8AAAAJ,0,0",BIO,5,7,0,1.6094379124341003,0,0.000148133392163329,0.5660377358490566,0.46861077463144657
37,-0CQuX8AAAAJ,2011,19,"wKoaJ-4AAAAJ,-0CQuX8AAAAJ,0,0,0",BIO,5,5,0,1.6094379124341003,0,0.000148133392163329,0.5660377358490566,-0.22540847571915798
38,-0CQuX8AAAAJ,2014,30,"Lk38PP0AAAAJ,2,0,0,-0CQuX8AAAAJ,0",BIO,6,8,0,1.791759469228055,0,0.000148133392163329,0.5660377358490566,0.7893302450578529
39,-0CQuX8AAAAJ,2014,15,"2,2,0,-0CQuX8AAAAJ,a7LHl00AAAAJ,0,0,2,2",BIO,9,8,0,2.1972245773362196,0,0.000148133392163329,0.5660377358490566,0.16807765125017785
40,-0CQuX8AAAAJ,2009,168,"NK7srJYAAAAJ,2,-0CQuX8AAAAJ,0,0",BIO,5,3,0,1.6094379124341003,0,0.000148133392163329,0.5660377358490566,1.2183993519870295
41,-0CQuX8AAAAJ,2009,47,"-0CQuX8AAAAJ,0,0,0,0",BIO,5,3,0,1.6094379124341003,0,0.000148133392163329,0.5660377358490566,0.287452575234049
42,-0CQuX8AAAAJ,2015,9,"0,0,-0CQuX8AAAAJ,0,0,0",BIO,6,9,0,1.791759469228055,0,0.000148133392163329,0.5660377358490566,0.16373410209971076
43,-0CQuX8AAAAJ,2013,13,"-0CQuX8AAAAJ,0",BIO,2,7,0,0.6931471805599453,0,0.000148133392163329,0.5660377358490566,-0.22064857945479321
44,-0CQuX8AAAAJ,2010,14,"NK7srJYAAAAJ,2,-0CQuX8AAAAJ,0,0",BIO,5,4,0,1.6094379124341003,0,0.000148133392163329,0.5660377358490566,-0.5444473377548524
45,-0CQuX8AAAAJ,2015,5,"-0CQuX8AAAAJ,0,2,0,0",BIO,5,9,0,1.6094379124341003,0,0.000148133392163329,0.5660377358490566,-0.3684036233265844
46,-0CQuX8AAAAJ,2014,19,"-0CQuX8AAAAJ,0,2",BIO,3,8,0,1.0986122886681098,0,0.000148133392163329,0.5660377358490566,0.377676726190269
47,-0CQuX8AAAAJ,2010,23,"0,0,0,-0CQuX8AAAAJ,0,0,0,0",BIO,8,4,0,2.0794415416798357,0,0.000148133392163329,0.5660377358490566,-0.190447607580173
48,-0CQuX8AAAAJ,2015,4,"-0CQuX8AAAAJ,0,0,0",BIO,4,9,0,1.3862943611198906,0,0.000148133392163329,0.5660377358490566,-0.5583317984507067
49,-0CQuX8AAAAJ,2009,106,"NK7srJYAAAAJ,2,-0CQuX8AAAAJ,0,0,0",BIO,6,3,0,1.791759469228055,0,0.000148133392163329,0.5660377358490566,0.8803454009796939
50,-0CQuX8AAAAJ,2008,234,"0,-0CQuX8AAAAJ,0,0",BIO,4,2,0,1.3862943611198906,0,0.000148133392163329,0.5660377358490566,1.3607036565530644
51,-0CQuX8AAAAJ,2011,40,"0,-0CQuX8AAAAJ,0,0",BIO,4,5,0,1.3862943611198906,0,0.000148133392163329,0.5660377358490566,0.3394167415050273
52,-0CQuX8AAAAJ,2010,2,"0,-0CQuX8AAAAJ,0,0,0",BIO,5,4,0,1.6094379124341003,0,0.000148133392163329,0.5660377358490566,-1.7566519916825116
53,-0CQuX8AAAAJ,2010,6,"-0CQuX8AAAAJ,2,0,0",BIO,4,4,0,1.3862943611198906,0,0.000148133392163329,0.5660377358490566,-1.1184798685523059
54,-0CQuX8AAAAJ,2015,26,"0,0,2,0,-0CQuX8AAAAJ,2,0,0",BIO,8,9,0,2.0794415416798357,0,0.000148133392163329,0.5660377358490566,1.1984252269667242
55,-0CQuX8AAAAJ,2007,2,"wKoaJ-4AAAAJ,-0CQuX8AAAAJ,0,0",BIO,4,1,0,1.3862943611198906,0,0.000148133392163329,0.5660377358490566,-1.7972450063514562
56,-0iKXsgAAAAJ,2011,24,"1,1,-0iKXsgAAAAJ",CS,3,4,0,1.0986122886681098,0,6.454881519104996e-05,0.2222222222222222,0.3211000566351269
57,-0iKXsgAAAAJ,2010,7,"1,1,-0iKXsgAAAAJ",CS,3,3,0,1.0986122886681098,0,6.454881519104996e-05,0.2222222222222222,-0.6136386917336594
58,-0iKXsgAAAAJ,2009,2,"-0iKXsgAAAAJ,1",CS,2,2,0,0.6931471805599453,0,6.454881519104996e-05,0.2222222222222222,-1.3774633796910583
59,-0iKXsgAAAAJ,2010,1,"1,1,1,-0iKXsgAAAAJ,1",CS,5,3,0,1.6094379124341003,0,6.454881519104996e-05,0.2222222222222222,-1.642512771091553
60,-0iKXsgAAAAJ,2008,21,"1,-0iKXsgAAAAJ,2",CS,3,1,0,1.0986122886681098,0,6.454881519104996e-05,0.2222222222222222,0.009453971194944028
61,-0iKXsgAAAAJ,2008,37,"1,-0iKXsgAAAAJ,2",CS,3,1,0,1.0986122886681098,0,6.454881519104996e-05,0.2222222222222222,0.4038329488213217
62,-0iKXsgAAAAJ,2010,6,"1,1,1,1,1,1,-0iKXsgAAAAJ,1",CS,8,3,0,2.0794415416798357,0,6.454881519104996e-05,0.2222222222222222,-0.7127424553390654
63,-0iKXsgAAAAJ,2014,4,"1,-0iKXsgAAAAJ,1",CS,3,7,0,1.0986122886681098,0,6.454881519104996e-05,0.2222222222222222,-0.5782607839555746
64,-0iKXsgAAAAJ,2013,16,"1,1,1,-0iKXsgAAAAJ,1",CS,5,6,0,1.6094379124341003,0,6.454881519104996e-05,0.2222222222222222,0.3155281541240624